Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
1994-01-03,466.510009765625,466.94000244140625,464.3599853515625,465.44000244140625,270140000,774.1099853515625,777.2899780273438,768.4099731445312,770.760009765625,253020000
1994-01-04,465.44000244140625,466.8900146484375,464.44000244140625,466.8900146484375,326600000,771.4299926757812,774.780029296875,771.02001953125,774.280029296875,298600000
1994-01-05,466.8900146484375,467.82000732421875,465.9200134277344,467.54998779296875,400030000,775.22998046875,778.2100219726562,773.6900024414062,778.0499877929688,349880000
1994-01-06,467.54998779296875,469.0,467.0199890136719,467.1199951171875,365960000,780.3599853515625,781.2100219726562,778.25,780.4099731445312,349210000
1994-01-07,467.0899963378906,470.260009765625,467.0299987792969,469.8999938964844,324920000,779.2899780273438,783.3900146484375,778.2000122070312,782.9400024414062,330060000
1994-01-10,469.8999938964844,475.2699890136719,469.54998779296875,475.2699890136719,319490000,783.0499877929688,787.489990234375,782.9199829101562,786.6900024414062,313350000
1994-01-11,475.2699890136719,475.2799987792969,473.2699890136719,474.1300048828125,305490000,785.9299926757812,787.3200073242188,784.3400268554688,785.52001953125,321930000
1994-01-12,474.1300048828125,475.05999755859375,472.1400146484375,474.1700134277344,310690000,788.2000122070312,788.4299926757812,782.6799926757812,786.8699951171875,322540000
1994-01-13,474.1700134277344,474.1700134277344,471.79998779296875,472.4700012207031,277970000,784.3599853515625,787.8499755859375,783.969970703125,787.8099975585938,290110000
1994-01-14,472.5,475.32000732421875,472.5,474.9100036621094,304920000,789.989990234375,793.1400146484375,788.780029296875,792.3099975585938,299660000
1994-01-17,474.9100036621094,474.9100036621094,472.8399963378906,473.29998779296875,233980000,791.6799926757812,792.739990234375,790.8300170898438,792.1799926757812,243450000
1994-01-18,473.29998779296875,475.19000244140625,473.2900085449219,474.25,308840000,791.9400024414062,793.1699829101562,791.260009765625,793.02001953125,319440000
1994-01-19,474.25,474.70001220703125,472.2099914550781,474.29998779296875,311370000,789.6400146484375,792.0800170898438,787.3200073242188,789.280029296875,337870000
1994-01-20,474.29998779296875,475.0,473.4200134277344,474.9800109863281,310450000,790.3200073242188,793.030029296875,789.8400268554688,793.030029296875,340170000
1994-01-21,474.9800109863281,475.55999755859375,473.7200012207031,474.7200012207031,346350000,794.3099975585938,794.6500244140625,792.5900268554688,794.280029296875,349430000
1994-01-24,474.7200012207031,475.20001220703125,471.489990234375,471.9700012207031,296900000,793.8900146484375,794.4199829101562,789.8800048828125,790.6500244140625,303880000
1994-01-25,471.9700012207031,472.55999755859375,470.2699890136719,470.9200134277344,326120000,789.97998046875,791.2100219726562,783.530029296875,786.3900146484375,352350000
1994-01-26,470.9200134277344,473.44000244140625,470.7200012207031,473.20001220703125,304660000,785.1300048828125,789.5,784.8699951171875,788.7999877929688,316490000
1994-01-27,473.20001220703125,477.5199890136719,473.20001220703125,477.04998779296875,346500000,789.1300048828125,793.3200073242188,788.4600219726562,792.8800048828125,314490000
1994-01-28,477.04998779296875,479.75,477.04998779296875,478.70001220703125,313140000,795.030029296875,796.5399780273438,793.5999755859375,796.530029296875,347490000
1994-01-31,478.70001220703125,482.8500061035156,478.70001220703125,481.6099853515625,322870000,797.77001953125,800.6300048828125,797.2000122070312,800.469970703125,329920000
1994-02-01,481.6000061035156,481.6400146484375,479.17999267578125,479.6199951171875,322510000,798.4199829101562,799.989990234375,794.9199829101562,797.239990234375,339750000
1994-02-02,479.6199951171875,482.2300109863281,479.57000732421875,482.0,328960000,796.9600219726562,799.6900024414062,796.719970703125,799.5700073242188,334950000
