QQQM
SPY
DIVB
MOAT
AGG
SPYG
TLT
LQD
SPSM
UTEN
UFIV
VTI
PHYL
FLBL
BIL
SPYV
FJAN
FJUN
DJUL
DOCT
XLC
XLE
XLF
XLV
XLY
XLK
OMFL
AIQ
SMH
IBLC
BOTZ
GRID
JEPI
SCHD
QYLD
DIVO
FNDX
IUS
SDIV
SPHD
KNG
PAAA
NCLO
